Project Title,Administering  IC,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Contact PI  Person ID,Contact PI / Project Leader,Organization Name,FY,FY Total Cost 
ANALYSIS OF THE ROLE OF FG NUCLEOPORINS IN NUCLEAR PROTEIN EXPORT.,NIGMS,1R15GM100385-01,1,R15,GM,100385,1,,1863410,"BELANGER, KENNETH D",COLGATE UNIVERSITY,2012,325282
MECHANISMS OF ASTROCYTE DEVELOPMENT,NEI,1R15EY020816-01,1,R15,EY,20816,1,,1871294,"BELECKY-ADAMS, TERI L",INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS,2010,376425
ALGORITHMIC ASSIGNMENT OF PROBABLE FUNCTION TO PROTEINS OF PREVIOUSLY UNKNOWN FUN,NIGMS,3R15GM078077-02S2,3,R15,GM,78077,2,S2,8432199,"BERNSTEIN, HERBERT J. ",DOWLING COLLEGE,2014,26877
ALGORITHMIC ASSIGNMENT OF PROBABLE FUNCTION TO PROTEINS OF PREVIOUSLY UNKNOWN FUN,NIGMS,3R15GM078077-02S1,3,R15,GM,78077,2,S1,8432199,"BERNSTEIN, HERBERT J. ",DOWLING COLLEGE,2012,107653
ALGORITHMIC ASSIGNMENT OF PROBABLE FUNCTION TO PROTEINS OF PREVIOUSLY UNKNOWN FUN,NIGMS,2R15GM078077-02,2,R15,GM,78077,2,,8432199,"BERNSTEIN, HERBERT J. ",DOWLING COLLEGE,2011,437100
STUDY OF COPPER OXIDOREDUCTASES THROUGH METALLOPROTEIN ENGINEERING,NIGMS,1R15GM097676-01A1,1,R15,GM,97676,1,A1,3087830,"BERRY, STEVEN M",UNIVERSITY OF MINNESOTA DULUTH,2012,311151
INVESTIGATING WORKING MEMORY ENCODING USING FREQUENCY-TAGGING OF EVOKED RESPONSE,NEI,1R15EY022775-01,1,R15,EY,22775,1,,7888844,"BERRYHILL, MARIAN E ",UNIVERSITY OF NEVADA RENO,2012,407474
REGULATION OF TRANSCRIPTIONAL INITIATION BY THE 19S PROTEASOME SUBCOMPLEX.,NIGMS,2R15GM088798-02,2,R15,GM,88798,2,,8136908,"BHAUMIK, SUKESH R",SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,2013,336300
ENHANCING THE 'BARCODE' READABILITY OF COLOR-LABELED MOLECULAR TAGS BY LINKER ENG,NIGMS,1R15GM088795-01,1,R15,GM,88795,1,,9626052,"BI, LANRONG ",MICHIGAN TECHNOLOGICAL UNIVERSITY,2009,202263
A ROLE OF BIT1 IN THE APOPTOSIS RESISTANCE; ANOIKIS INSENSITVITY; AND CHEMORESIST,NCI,1R15CA158677-01A1,1,R15,CA,158677,1,A1,9751549,"BILIRAN, HECTOR RAMOS",XAVIER UNIVERSITY OF LOUISIANA,2012,362890
LOW-LITERATE ADULT LEARNERS AND MORPHOLOGICAL PROCESSES: A MULTI-SKILLS APPROACH,NICHD,1R15HD067755-01A1,1,R15,HD,67755,1,A1,9855843,"BINDER, KATHY SUSAN",MOUNT HOLYOKE COLLEGE,2011,447634
COMPARATIVE 'VENOMES' OF RECLUSE SPIDERS AND THEIR KIN: TREATMENTS AND TOXIN DISC,NIGMS,1R15GM097696-01,1,R15,GM,97696,1,,8501991,"BINFORD, GRETA JEANNE",LEWIS AND CLARK COLLEGE,2011,260824
TARGET-SPECIFIC INHIBITION AND ACTIVATION OF ENGINEERED PROTEIN TYROSINE PHOSPHAT,NIGMS,2R15GM071388-03,2,R15,GM,71388,3,,6579273,"BISHOP, ANTHONY C",AMHERST COLLEGE,2012,292391
BIOMOLECULAR ANALYSIS OF PROTEINS IN VISUAL DISEASES,NEI,2R15EY013113-05A1,2,R15,EY,13113,5,A1,6375931,"BISWAS-FISS, ESTHER ELISSA",THOMAS JEFFERSON UNIVERSITY,2014,476270
PROBING THE CHARACTERISTICS OF GENETIC CIRCUITS INTEGRATED IN MAMMALIAN CELLS AND,NIGMS,1R15GM096271-01A1,1,R15,GM,96271,1,A1,10311015,"BLERIS, LEONIDAS ",UNIVERSITY OF TEXAS DALLAS,2011,306000
CONTROL OF PAIRING AND RECOMBINATION DURING MEIOSIS,NIGMS,1R15GM099056-01,1,R15,GM,99056,1,,8468497,"BOERNER, VALENTIN ",CLEVELAND STATE UNIVERSITY,2011,284000
POPULATION GENOMICS OF LINE RETROTRANSPOSONS IN VERTEBRATES,NIGMS,1R15GM096267-01,1,R15,GM,96267,1,,7727087,"BOISSINOT, STEPHANE ",QUEENS COLLEGE,2011,303400
LIPID MODULATION OF POTASSIUM CHANNELS,NIGMS,1R15GM096142-01,1,R15,GM,96142,1,,10139432,"BOLAND, LINDA M",UNIVERSITY OF RICHMOND,2011,278682
EFFECT OF HEME ON MRNA AND MIRNA PROFILES,NHLBI,1R15HL117199-01,1,R15,HL,117199,1,,1898659,"BONKOVSKY, HERBERT L",CAROLINAS MEDICAL CENTER,2013,431916
STRUCTURE-FUNCTION OF THE EPITHELIAL SODIUM CHANNEL (ENAC),NIGMS,3R15GM086798-01A2S1,3,R15,GM,86798,1,A2S1,9180704,"BOOTH, RACHELL ESCHETTE ",TEXAS STATE UNIVERSITY-SAN MARCOS,2013,5447
STRUCTURE-FUNCTION OF THE EPITHELIAL SODIUM CHANNEL (ENAC),NIGMS,1R15GM086798-01A2,1,R15,GM,86798,1,A2,9180704,"BOOTH, RACHELL ESCHETTE ",TEXAS STATE UNIVERSITY-SAN MARCOS,2011,274778
DETERMINATION OF THE ROLE OF CBP AND P300 MEDIATED WNT SIGNALING ON COLONIC CELLS,NCI,1R15CA149589-01,1,R15,CA,149589,1,,8333991,"BORDONARO, MICHAEL ",COMMONWEALTH MEDICAL COLLEGE,2010,183203
SCAVENGING OF REACTIVE OXYGEN AND NITROGEN SPECIES BY COBALAMINS,NIGMS,1R15GM094707-01A1,1,R15,GM,94707,1,A1,9363239,"BRASCH, NICOLA ELIZABETH",KENT STATE UNIVERSITY AT KENT,2011,219277
THE DEVELOPMENT OF NOVEL PEPTIDIC AND PEPTIDOMIMETIC THERAPIES FOR THE TREATMENT,NIDDK,1R15DK098109-01A1,1,R15,DK,98109,1,A1,10378512,"BRENNAN, BRIAN BUERK",ILLINOIS WESLEYAN UNIVERSITY,2012,285189
DEVELOPMENT AND APPLICATION OF MULTI-SPECTROSCOPIC; SITE-SPECIFIC (MS3) PROBES OF,NIGMS,1R15GM093330-01,1,R15,GM,93330,1,,10073459,"BREWER, SCOTT H ",FRANKLIN AND MARSHALL COLLEGE,2010,195895
PROXIMAL TUBULAR TRANSPORT OF MERCURY AND EFFECTS OF REDUCED RENAL MASS,NIEHS,1R15ES019991-01,1,R15,ES,19991,1,,7548673,"BRIDGES, CHRISTY C",MERCER UNIVERSITY MACON,2011,471000
THE IMPACT OF CONCUSSIVE AND SUB-CONCUSSIVE BLOWS ON BRAIN NETWORK ACTIVITY,NINDS,1R15NS081691-01,1,R15,NS,81691,1,,8830805,"BROGLIO, STEVEN P.",UNIVERSITY OF MICHIGAN,2012,434957
DECONVOLUTING G-QUADRUPLEX AND I-MOTIF DYNAMICS: THE ROLE OF THE PHYSIOLOGICAL ST,NCI,1R15CA173667-01A1,1,R15,CA,173667,1,A1,6668768,"BROOKS, TRACY ANN ",UNIVERSITY OF MISSISSIPPI,2013,419115
NICOTINE AND THE ROLES OF NICOTINIC RECEPTORS IN A RODENT MODEL OF SCHIZOPHRENIA,NIDA,1R15DA034912-01A1,1,R15,DA,34912,1,A1,6707099,"BROWN, RUSSELL W",EAST TENNESSEE STATE UNIVERSITY,2013,408221
EXPERIENTIAL MODULATION OF ACTION PATTERNS IN THE DEVELOPING RAT,NICHD,1R15HD062980-01,1,R15,HD,62980,1,,9751427,"BRUMLEY, MICHELE R.",IDAHO STATE UNIVERSITY,2010,164607
GENE REGULATORY FUNCTIONS FOR THE NUCLEAR SPECKLE SCAFFOLDING PROTEIN SON,NIGMS,2R15GM084407-02,2,R15,GM,84407,2,,8741227,"BUBULYA, PAULA A.",WRIGHT STATE UNIVERSITY,2011,292000
LOCOMOTOR RHYTHMOGENESIS IN THE VERTEBRATE HINDBRAIN,NINDS,1R15NS080047-01A1,1,R15,NS,80047,1,A1,1871133,"BUCHANAN, JAMES T",MARQUETTE UNIVERSITY,2013,338625
IDENTIFICATION OF PERSISTENT IMPAIRMENTS IN POSTURAL CONTROL FOLLOWING CONCUSSION,NINDS,1R15NS070744-01A1,1,R15,NS,70744,1,A1,10179671,"BUCKLEY, THOMAS A. ",GEORGIA SOUTHERN UNIVERSITY,2011,385722
DYNAMIC BIOCHEMICAL TISSUE ANALYSIS: A NOVEL IN SITU ASSAY,NCI,1R15CA161830-01,1,R15,CA,161830,1,,9497407,"BURDICK, MONICA ",OHIO UNIVERSITY ATHENS,2011,442500
INVESTIGATION OF A PTERIN-DITHIOLENE MODEL COMPLEX FOR THE MOLYBDENUM COFACTOR,NIGMS,2R15GM081848-02,2,R15,GM,81848,2,,6091109,"BURGMAYER, SHARON NIETER",BRYN MAWR COLLEGE,2014,284660
ASSESSING THE DEVELOPMENT OF HIPPOCAMPUS-AMYGDALA INTERACTIONS DURING EMOTIONAL L,NIMH,1R15MH093950-01A1,1,R15,MH,93950,1,A1,8966981,"BURMAN, MICHAEL A",UNIVERSITY OF NEW ENGLAND,2012,404948
EXPLORATION OF THE ROLE OF PORCUPINE IN CHICK NEURAL DEVELOPMENT,NICHD,1R15HD070206-01A1,1,R15,HD,70206,1,A1,8427341,"BURRUS, LAURA W.",SAN FRANCISCO STATE UNIVERSITY,2012,461958
FOLLICULAR DENDRITIC CELL ACTIVATION AND HIV PATHOGENESIS,NIAID,1R15AI091517-01,1,R15,AI,91517,1,,1878472,"BURTON, GREGORY F.",BRIGHAM YOUNG UNIVERSITY,2010,442125
DEVELOPMENT AND VALIDATION OF A PREDICTIVE ENERGY EQUATION IN HEMODIALYSIS,NIDDK,3R15DK090593-02S1,3,R15,DK,90593,2,S1,9961660,"BYHAM-GRAY, LAURA DIANE",RBHS-SCHOOL/ HEALTH RELATED PROFESSIONS,2013,26819
DEVELOPMENT AND VALIDATION OF A PREDICTIVE ENERGY EQUATION IN HEMODIALYSIS,NIDDK,6R15DK090593-02,6,R15,DK,90593,2,,9961660,"BYHAM-GRAY, LAURA DIANE",RBHS-SCHOOL/ HEALTH RELATED PROFESSIONS,2012,468127
OLFACTORY BULB CELL GENESIS AND SURVIVAL IN A MODEL OF REVERSIBLE DEAFFERENTATION,NIDCD,1R15DC011137-01A1,1,R15,DC,11137,1,A1,1858216,"BYRD, CHRISTINE A",WESTERN MICHIGAN UNIVERSITY,2011,414135
THE EFFECTS OF DIFFERENTIAL REARING ON GLUTAMATE HOMEOSTASIS AND ADDICTION,NIDA,1R15DA035435-01,1,R15,DA,35435,1,,7876919,"CAIN, MARY EILEEN",KANSAS STATE UNIVERSITY,2013,436250
INVESTIGATING NEUROPROTECTIVE TARGETS FOR PARKINSON DISEASE ASSOCIATED WITH AUTOP,NINDS,1R15NS075684-01,1,R15,NS,75684,1,,1875985,"CALDWELL, GUY A",UNIVERSITY OF ALABAMA IN TUSCALOOSA,2011,411453
EFFECTS OF TAI CHI CHUAN ON PSYCHOBIOLOGICAL INDICATORS OF ANXIETY AND SLEEP QUAL,NCCAM,1R15AT006795-01A1,1,R15,AT,6795,1,A1,10361212,"CALDWELL, KAREN LEIGH",APPALACHIAN STATE UNIVERSITY,2012,393140
BACTERIAL NEUROTOXICITY AS AN ENVIRONMENTAL MODEL FOR PARKINSON DISEASE,NINDS,1R15NS074197-01,1,R15,NS,74197,1,,8457668,"CALDWELL, KIM A",UNIVERSITY OF ALABAMA IN TUSCALOOSA,2011,378087
ASYMMETRIC C-C BOND-FORMING REACTIONS CATALYZED BY CINCHONA ALKALOID DERIVATIVES,NIGMS,1R15GM094764-01,1,R15,GM,94764,1,,8477445,"CALTER, MICHAEL ARTHUR",WESLEYAN UNIVERSITY,2010,472490
A SWITCH IN GENE EXPRESSION DURING BACTERIAL DEVELOPMENT,NIGMS,1R15GM101559-01,1,R15,GM,101559,1,,10309022,"CAMP, AMY HITCHCOCK",MOUNT HOLYOKE COLLEGE,2012,275792
INCORPORATING GENE ONTOLOGY AND PATHWAY KNOWLEDGE INTO OVER REPRESENTATION ANALYS,NHGRI,1R15HG006365-01,1,R15,HG,6365,1,,10677564,"CAO, JING ",SOUTHERN METHODIST UNIVERSITY,2011,277097
XANTHINE DNA GLYCOSYLASE IN MAMMALIAN SYSTEMS,NIGMS,1R15GM090141-01,1,R15,GM,90141,1,,6866255,"CAO, WEIGUO ",CLEMSON UNIVERSITY,2010,222750
HNRNP A1 INHIBITION OF HIV-1 REPLICATION,NIAID,1R15AI093229-01A1,1,R15,AI,93229,1,A1,7020393,"CAPUTI, MASSIMO ",FLORIDA ATLANTIC UNIVERSITY,2011,433500
ACCENTS & SYNTACTIC ATTACHMENT: EXPLORING HOW PITCH ACCENTS AFFECT THE RESOLUTION,NICHD,1R15HD072713-01A1,1,R15,HD,72713,1,A1,2219344,"CARLSON, KATHRYN A",MOREHEAD STATE UNIVERSITY,2013,350425
THE ROLE OF SOX21 IN NEURAL DEVELOPMENT,NINDS,1R15NS078741-01A1,1,R15,NS,78741,1,A1,7834889,"CASEY, ELENA M",GEORGETOWN UNIVERSITY,2012,459994
CAUSES AND CONSEQUENCES OF GENOMIC INSTABILITY AT FRAGILE SITES,NIGMS,1R15GM107841-01,1,R15,GM,107841,1,,10214647,"CASPER, ANNE MARIE",EASTERN MICHIGAN UNIVERSITY,2014,331740
TRIVALENT METAL IONS IN ELECTRON-BASED DISSOCIATION MASS SPECTROMETRY OF PEPTIDES,NIGMS,1R15GM109401-01,1,R15,GM,109401,1,,1893721,"CASSADY, CAROLYN J",UNIVERSITY OF ALABAMA IN TUSCALOOSA,2014,311230
SIGNAL TRANSDUCTION BY THE MICROTUBULE DESTABILIZER; STATHMIN/ONCOPROTEIN 18,NIGMS,1R15GM100381-01,1,R15,GM,100381,1,,1883164,"CASSIMERIS, LYNNE ",LEHIGH UNIVERSITY,2012,365344
NOVEL SMALL MOLECULE INHIBITORS OF MEK5_ERK5 FOR THE TREATMENT OF BREAST CANCER,NCI,1R15CA176496-01A1,1,R15,CA,176496,1,A1,8035153,"CAVANAUGH, JANE E",DUQUESNE UNIVERSITY,2014,394234
UNRAVELING IMMUNOSTIMULATORY AND IMMUNOSUPPRESSIVE EFFECTS OF ECHINACEA PURPUREA,NCCAM,1R15AT007259-01,1,R15,AT,7259,1,,7113867,"CECH, NADJA B",UNIVERSITY OF NORTH CAROLINA GREENSBORO,2012,444658
FROM SUSCEPTIBILITY TO SIGNALS: HOW EXTRINSIC CUES ALTER STEM AND PROGENITOR CELL,NEI,1R15EY023745-01,1,R15,EY,23745,1,,11626361,"CERVENY, KARA ",REED COLLEGE,2013,397606
MLK4 REGULATION OF MAPK SIGNALING,NIGMS,1R15GM102831-01,1,R15,GM,102831,1,,8577916,"CHADEE, DEBORAH N",UNIVERSITY OF TOLEDO,2012,349200
SERINE PROTEASE MODULATION OF ERBB RECEPTORS,NIGMS,1R15GM094763-01A1,1,R15,GM,94763,1,A1,6490673,"CHAI, KARL X",UNIVERSITY OF CENTRAL FLORIDA,2011,311412
MECHANISM FOR TELOMERIC G-OVERHANG GENERATION IN HUMAN CELLS,NIGMS,1R15GM099008-01,1,R15,GM,99008,1,,6822235,"CHAI, WEIHANG ",WASHINGTON STATE UNIVERSITY,2011,301444
ROLES OF MAST CELLS IN INFLAMMATORY PAIN,NINDS,1R15NS067536-01A1,1,R15,NS,67536,1,A1,9780733,"CHATTERJEA, DEVAVANI ",MACALESTER COLLEGE,2010,425666
ROLE OF INFLUENZA-INDUCED PROTHROMBOSIS IN STREPTOCOCCUS PYOGENES SUPERINFECTIONS,NIAID,1R15AI094437-01A1,1,R15,AI,94437,1,A1,1945199,"CHAUSSEE, MICHAEL S",UNIVERSITY OF SOUTH DAKOTA,2012,425469
EFFECTS OF DIETARY SOY COMPOUNDS ON STROKE OUTCOMES,NCCAM,1R15AT006593-01A1,1,R15,AT,6593,1,A1,9656996,"CHEATWOOD, JOSEPH L.",SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,2011,436453
TIMING OF EXPOSURE TO SELENIUM AND ISOFLAVONES AND PROSTATE CANCER PREVENTION,NCI,1R15CA141385-01A1,1,R15,CA,141385,1,A1,1877253,"CHRISTENSEN, MERRILL  ",BRIGHAM YOUNG UNIVERSITY,2010,225000
DROSOPHILA MCM10 IN DNA REPLICATION AND HETEROCHROMATIN FORMATION,NIGMS,1R15GM093328-01,1,R15,GM,93328,1,,6685807,"CHRISTENSEN, TIMOTHY W",EAST CAROLINA UNIVERSITY,2010,215250
TRANSCULTURAL MINDFULNESS ASSESSMENT: A MIXED METHODS ANALYSIS,NCCAM,1R15AT005342-01A1,1,R15,AT,5342,1,A1,7008251,"CHRISTOPHER, MICHAEL S",PACIFIC UNIVERSITY,2010,179601
